Label,Value,codigo_tabela_referencia,codigo_fipe,ano_modelo,codigo_tipo_combustivel
1998 Gasolina,1998-1,302,007011-4,1998,1
1997 Gasolina,1997-1,302,007011-4,1997,1
1999 Gasolina,1999-1,302,007012-2,1999,1
1998 Gasolina,1998-1,302,007012-2,1998,1
1997 Gasolina,1997-1,302,007012-2,1997,1
1999 Gasolina,1999-1,302,007013-0,1999,1
1998 Gasolina,1998-1,302,007013-0,1998,1
1997 Gasolina,1997-1,302,007013-0,1997,1
1999 Diesel,1999-3,302,007014-9,1999,3
1998 Diesel,1998-3,302,007014-9,1998,3
1997 Diesel,1997-3,302,007014-9,1997,3
1999 Diesel,1999-3,302,007015-7,1999,3
1998 Diesel,1998-3,302,007015-7,1998,3
1997 Diesel,1997-3,302,007015-7,1997,3
1996 Diesel,1996-3,302,007015-7,1996,3
1999 Diesel,1999-3,302,007016-5,1999,3
1998 Diesel,1998-3,302,007016-5,1998,3
1997 Diesel,1997-3,302,007016-5,1997,3
1997 Diesel,1997-3,302,007017-3,1997,3
1996 Diesel,1996-3,302,007017-3,1996,3
1995 Diesel,1995-3,302,007017-3,1995,3
1994 Diesel,1994-3,302,007017-3,1994,3
1998 Diesel,1998-3,302,007018-1,1998,3
1997 Diesel,1997-3,302,007018-1,1997,3
1996 Diesel,1996-3,302,007018-1,1996,3
1995 Diesel,1995-3,302,007018-1,1995,3
1994 Diesel,1994-3,302,007018-1,1994,3
1998 Diesel,1998-3,302,007019-0,1998,3
1997 Diesel,1997-3,302,007019-0,1997,3
1996 Diesel,1996-3,302,007019-0,1996,3
1995 Diesel,1995-3,302,007019-0,1995,3
1994 Diesel,1994-3,302,007019-0,1994,3
1995 Diesel,1995-3,302,007020-3,1995,3
1994 Diesel,1994-3,302,007020-3,1994,3
2012 Gasolina,2012-1,302,085001-2,2012,1
2016 Gasolina,2016-1,302,085002-0,2016,1
2014 Gasolina,2014-1,302,085002-0,2014,1
2012 Gasolina,2012-1,302,085002-0,2012,1
2011 Gasolina,2011-1,302,085002-0,2011,1
2011 Gasolina,2011-1,302,085003-9,2011,1
2010 Gasolina,2010-1,302,085003-9,2010,1
2012 Gasolina,2012-1,302,085004-7,2012,1
2012 Gasolina,2012-1,302,085005-5,2012,1
2011 Gasolina,2011-1,302,085006-3,2011,1
2012 Gasolina,2012-1,302,085007-1,2012,1
2011 Gasolina,2011-1,302,085007-1,2011,1
2016 Gasolina,2016-1,302,085008-0,2016,1
2015 Gasolina,2015-1,302,085008-0,2015,1
2016 Gasolina,2016-1,302,085009-8,2016,1
2014 Gasolina,2014-1,302,085009-8,2014,1
2016 Gasolina,2016-1,302,085010-1,2016,1
2014 Gasolina,2014-1,302,085010-1,2014,1
2016 Gasolina,2016-1,302,085011-0,2016,1
2014 Gasolina,2014-1,302,085011-0,2014,1
32000 Gasolina,32000-1,302,085012-8,32000,1
2023 Gasolina,2023-1,302,085012-8,2023,1
2022 Gasolina,2022-1,302,085012-8,2022,1
32000 Gasolina,32000-1,302,085013-6,32000,1
2023 Gasolina,2023-1,302,085013-6,2023,1
2022 Gasolina,2022-1,302,085013-6,2022,1
32000 Gasolina,32000-1,302,085014-4,32000,1
2023 Gasolina,2023-1,302,085014-4,2023,1
2022 Gasolina,2022-1,302,085014-4,2022,1
32000 Gasolina,32000-1,302,085015-2,32000,1
2023 Gasolina,2023-1,302,085015-2,2023,1
2022 Gasolina,2022-1,302,085015-2,2022,1
32000 Gasolina,32000-1,302,085016-0,32000,1
2023 Gasolina,2023-1,302,085016-0,2023,1
32000 Gasolina,32000-1,302,085017-9,32000,1
2023 Gasolina,2023-1,302,085017-9,2023,1
1995 Gasolina,1995-1,302,008001-2,1995,1
1994 Gasolina,1994-1,302,008001-2,1994,1
1996 Gasolina,1996-1,302,008002-0,1996,1
1995 Gasolina,1995-1,302,008002-0,1995,1
1994 Gasolina,1994-1,302,008002-0,1994,1
1999 Gasolina,1999-1,302,008003-9,1999,1
1998 Gasolina,1998-1,302,008003-9,1998,1
1997 Gasolina,1997-1,302,008003-9,1997,1
1996 Gasolina,1996-1,302,008003-9,1996,1
1995 Gasolina,1995-1,302,008003-9,1995,1
1994 Gasolina,1994-1,302,008003-9,1994,1
1995 Gasolina,1995-1,302,008004-7,1995,1
1994 Gasolina,1994-1,302,008004-7,1994,1
2004 Gasolina,2004-1,302,008005-5,2004,1
2003 Gasolina,2003-1,302,008005-5,2003,1
2002 Gasolina,2002-1,302,008005-5,2002,1
2001 Gasolina,2001-1,302,008005-5,2001,1
2000 Gasolina,2000-1,302,008005-5,2000,1
1999 Gasolina,1999-1,302,008005-5,1999,1
1998 Gasolina,1998-1,302,008005-5,1998,1
1997 Gasolina,1997-1,302,008005-5,1997,1
2004 Gasolina,2004-1,302,008006-3,2004,1
2003 Gasolina,2003-1,302,008006-3,2003,1
2002 Gasolina,2002-1,302,008006-3,2002,1
2001 Gasolina,2001-1,302,008006-3,2001,1
2000 Gasolina,2000-1,302,008006-3,2000,1
1999 Gasolina,1999-1,302,008006-3,1999,1
1998 Gasolina,1998-1,302,008006-3,1998,1
1997 Gasolina,1997-1,302,008006-3,1997,1
2001 Gasolina,2001-1,302,008007-1,2001,1
2000 Gasolina,2000-1,302,008007-1,2000,1
1999 Gasolina,1999-1,302,008007-1,1999,1
1998 Gasolina,1998-1,302,008007-1,1998,1
1997 Gasolina,1997-1,302,008007-1,1997,1
1996 Gasolina,1996-1,302,008007-1,1996,1
1995 Gasolina,1995-1,302,008007-1,1995,1
2016 Gasolina,2016-1,302,008008-0,2016,1
