Label,Value,codigo_tabela_referencia,codigo_fipe,ano_modelo,codigo_tipo_combustivel
2001 Gasolina,2001-1,302,008009-8,2001,1
2000 Gasolina,2000-1,302,008009-8,2000,1
1999 Gasolina,1999-1,302,008009-8,1999,1
1998 Gasolina,1998-1,302,008009-8,1998,1
1997 Gasolina,1997-1,302,008009-8,1997,1
1996 Gasolina,1996-1,302,008009-8,1996,1
2001 Gasolina,2001-1,302,008010-1,2001,1
2000 Gasolina,2000-1,302,008010-1,2000,1
1999 Gasolina,1999-1,302,008010-1,1999,1
1998 Gasolina,1998-1,302,008010-1,1998,1
1997 Gasolina,1997-1,302,008010-1,1997,1
1996 Gasolina,1996-1,302,008010-1,1996,1
1997 Gasolina,1997-1,302,008011-0,1997,1
1996 Gasolina,1996-1,302,008011-0,1996,1
1995 Gasolina,1995-1,302,008011-0,1995,1
1997 Gasolina,1997-1,302,008012-8,1997,1
1996 Gasolina,1996-1,302,008012-8,1996,1
1995 Gasolina,1995-1,302,008012-8,1995,1
1997 Gasolina,1997-1,302,008013-6,1997,1
1996 Gasolina,1996-1,302,008013-6,1996,1
1995 Gasolina,1995-1,302,008013-6,1995,1
2000 Gasolina,2000-1,302,008014-4,2000,1
1999 Gasolina,1999-1,302,008014-4,1999,1
1998 Gasolina,1998-1,302,008014-4,1998,1
1997 Gasolina,1997-1,302,008014-4,1997,1
1996 Gasolina,1996-1,302,008014-4,1996,1
1995 Gasolina,1995-1,302,008014-4,1995,1
1994 Gasolina,1994-1,302,008014-4,1994,1
1995 Gasolina,1995-1,302,008015-2,1995,1
1998 Gasolina,1998-1,302,008016-0,1998,1
1997 Gasolina,1997-1,302,008016-0,1997,1
2001 Gasolina,2001-1,302,008018-7,2001,1
2000 Gasolina,2000-1,302,008018-7,2000,1
1999 Gasolina,1999-1,302,008018-7,1999,1
1998 Gasolina,1998-1,302,008018-7,1998,1
2004 Gasolina,2004-1,302,008019-5,2004,1
2003 Gasolina,2003-1,302,008019-5,2003,1
2002 Gasolina,2002-1,302,008019-5,2002,1
2001 Gasolina,2001-1,302,008019-5,2001,1
2000 Gasolina,2000-1,302,008019-5,2000,1
1999 Gasolina,1999-1,302,008019-5,1999,1
1998 Gasolina,1998-1,302,008019-5,1998,1
2001 Gasolina,2001-1,302,008020-9,2001,1
2000 Gasolina,2000-1,302,008020-9,2000,1
1999 Gasolina,1999-1,302,008020-9,1999,1
1998 Gasolina,1998-1,302,008020-9,1998,1
2003 Gasolina,2003-1,302,008021-7,2003,1
2002 Gasolina,2002-1,302,008021-7,2002,1
2001 Gasolina,2001-1,302,008021-7,2001,1
2000 Gasolina,2000-1,302,008021-7,2000,1
1999 Gasolina,1999-1,302,008021-7,1999,1
1998 Gasolina,1998-1,302,008021-7,1998,1
2001 Gasolina,2001-1,302,008022-5,2001,1
2000 Gasolina,2000-1,302,008022-5,2000,1
1999 Gasolina,1999-1,302,008022-5,1999,1
1998 Gasolina,1998-1,302,008022-5,1998,1
1997 Gasolina,1997-1,302,008022-5,1997,1
2001 Gasolina,2001-1,302,008023-3,2001,1
2000 Gasolina,2000-1,302,008023-3,2000,1
1999 Gasolina,1999-1,302,008023-3,1999,1
1998 Gasolina,1998-1,302,008023-3,1998,1
1997 Gasolina,1997-1,302,008023-3,1997,1
2001 Gasolina,2001-1,302,008024-1,2001,1
2000 Gasolina,2000-1,302,008024-1,2000,1
1999 Gasolina,1999-1,302,008024-1,1999,1
1998 Gasolina,1998-1,302,008024-1,1998,1
