code,car_models
033214-3,Range R. VEL. R-Dyn. S 2.0 Aut.(Híbrido)
033215-1,Range R. VEL. R-Dyn. HSE 2.0 Aut. (Híb.)
033216-0,Discovery R-Dynamic S 3.0 4x4 Die (Hib.)
033217-8,Discovery R- Dyn HSE 3.0 4x4 Die. (Hib.)
033218-6,Defender 110 X-DY S D300 Die Aut. (Hib.)
033219-4,Defender 90 D300 S Diesel Aut. (Hibrido)
033220-8,Defender 110 75th 3.0 Diesel Aut. (Hib.)
033221-6,Range R. Sp. Dynam. HSE 3.0 510cv (Híb.)
033222-4,Range R. Sp. First Ed. 3.0 510cv (Híb.)
033223-2,Range Rover SE 3.0 I6 510cv (Híbrido)
033224-0,Range Rover HSE 3.0 I6 510cv (Híbrido)
033225-9,Range Rover Autobio.3.0 I6 510cv (Híb.)
033226-7,Defe. 110 X-DY SE D300 Die Aut. (Hib.)
057001-0,GS 300 3.0 V6 24V
057002-8,RX 300 3.0 V6 24V
057003-6,SC 400 4.0 V8
057020-6,ES-300 3.0
057025-7,LS 400 4.0
057026-5,LS 430 4.3 32V 281cv
057027-3,ES-330 3.3 24V 228cv
057028-1,ES-350 3.5 24V 284cv
057029-0,LS 460 4.6 32V 347cv
057030-3,IS-300 3.0 24V 231cv Aut.
057031-1,LS-460L 4.6 V8 32v 347cv Aut.
057032-0,RX-350 3.5 24V Aut.
057033-8,RX-350 F-Sport 3.5 24V Aut.
057034-6,CT200h 1.8 16V Aut. (Híbrido)
057035-4,CT200h F-Sport 1.8 16V Aut. (Híbrido)
057036-2,IS-250 2.5 24V 208cv Aut.
057037-0,IS-250 F Sport 2.5 24V 208cv Aut.
057038-9,NX-200t Luxury 2.0 16V 238cv Aut.
057039-7,NX-200t F-Sport 2.0 16v 238cv Aut.
057040-0,NX-300 F-Sport 2.0 16V 238cv Aut.
057041-9,NX-300 Luxury 2.0 16V 238cv Aut.
057042-7,NX-300 Dynamic 2.0 16V 238cv Aut.
057043-5,LS 500h 3.5 V6 24v Aut. (Híbrido)
057044-3,NX-300h F-Sport 2.5 16V Aut. (Híbrido)
057045-1,NX-300h Dynamic 2.5 16V Aut. (Híbrido)
057046-0,NX-300h Luxury 2.5 16V Aut. (Híbrido)
057047-8,ES300h 2.5 16V Aut. (Híbrido)
057048-6,UX-250h F-Sport 2.0 16V Aut. (Híbrido)
057049-4,UX-250h Luxury 2.0 16V Aut. (Híbrido)
057050-8,UX-250h Dynamic 2.0 16V Aut. (Híbrido)
057051-6,RX-450h Luxury 3.5 24V V6 Aut. (Híbrido)
057052-4,RX-450h F-Sport 3.5 24V V6 Aut.(Híbrido)
057053-2,NX-350h Luxury 2.5 16V Aut. (Híbrido)
057054-0,NX-350h Dynamic 2.5 16V Aut. (Híbrido)
057055-9,NX-350h F-Sport 2.5 16V Aut. (Híbrido)
057056-7,RX-500h F-Sport 2.4 16V Aut. (Híbrido)
077001-9,320 ELITE 1.3 16V 88cv 5p
077002-7,620 TALENT 1.6 16V 106cv 4p
077003-5,X60 1.8 16V 128cv 5p Mec.
077004-3,FOISON 1.3 16V 85cv 2p
077005-1,530 1.5 16V 103cv 4p
077006-0,530 TALENT 1.5 16V 103cv 4p
077007-8,X60 VIP 1.8 16V 128cv 5p Aut.
077008-6,X80 VIP 2.0 Turbo 184cv 5p Aut.
063001-2,H1 1.8 20V Turbo 180cv 2p
047001-5,Elan S-2 1.6 16V
047002-3,Esprit S-4 2.2 16V
065001-3,SCORPIO GLX SUV 2.6 TB Diesel CRDe 4WD
065002-1,SCORPIO 2.6 CS/ Chassi TB Dies. CRDe 4x4
065003-0,SCORPIO 2.6 CD TB Diesel CRDe 4x4
065004-8,PIK-UP CS 2.2 4X4 (diesel) Mec.
065005-6,PIK-UP CD 2.2 4X4 (diesel) Mec.
065006-4,PIK-UP CS 2.2 4X2 (diesel) Mec.
065007-2,PIK-UP CD 2.2 4X2 (diesel) Mec.
065008-0,SUV 2.2 4x4 (diesel) Mec.
034001-4,3200 GT Cupê
034002-2,Quattroporte Evolucione Aut.
034003-0,222 SE/SR 2.0 V6
034004-9,228
034005-7,430 2.0 V6
034006-5,430 II 2.0 V6
034007-3,Ghibli 2.0 V6
034008-1,Shamal 3.2 V8
034009-0,Spyder IE 2.0 V6
034010-3,Quattroporte Evolucione Mec.
034011-1,3200 GT Cupê Aut.
034012-0,Coupé CC 4.2 V8 32V 390cv
034013-8,Spyder CC 4.2 V8 32V 390cv
034014-6,Quattroporte Executive 4.2 32V 400cv
034015-4,Quattroporte Sport 4.2 32V 400cv/430cv
034016-2,GranSport 4.2 V8 32V 400cv
034017-0,GranSport Spyder 4.2 V8 32V 400cv
034018-9,GranTurismo 4.2 V8 32V 405cv
034019-7,Quattroporte Automatica 4.2 32V 400cv
034020-0,Quattroporte S 4.7 V8 32V 430cv
034021-9,GranTurismo S 4.7 V8 32V/ MC Line
034022-7,Quattroporte Sport GT-S 4.7 V8 32V 440cv
034023-5,GranCabrio 4.7 V8 32V 440cv
034024-3,GranTurismo MC Stradale 4.7 V8 32V 450cv
034025-1,Quattroporte GTS 3.8 V8 32V 530cv
034026-0,Ghibli S Q4 3.0 V6 Aut.
034027-8,Ghibli 3.0 V6 Aut.
034028-6,Gran Turismo Sport 4.7 V8 32V 460cv
034029-4,Levante 3.0 V6 350cv Aut.
034030-8,Levante S 3.0 V6 430cv Aut.
034031-6,Levante Trofeo 3.8 V8 590cv Aut.
034032-4,Levante GT 2.0 330cv Aut. (Híb.)
034033-2,Ghibli GT 2.0 V6 (Híbrido)
058001-5,Pick-Up 4x2 Curto/Longo 2.5 TDI Diesel
058002-3,Pick-Up 4x4 Curto/Longo 2.5 TDI Diesel
058003-1,Pick-Up CD 4x2 Curto/Longo 2.5 TDI Dies.
058004-0,Pick-Up CD 4x4 Curto/Longo 2.5 TDI Dies.
020001-8,626 GLX
020002-6,626 GT
020003-4,929 V6 Aut
020004-2,MPV Minivan Aut
020005-0,MX-3 1.6 16V
020006-9,MX-5 Mec
020007-7,B2200 Pick-Up 2.2 Diesel
020008-5,B2200 Pick-Up CD 2.2 Diesel
020009-3,Protegé Mec.
020010-7,B-2500 Pick-Up 2.5 Diesel
020011-5,B-2500 Pick-Up CD 4x4 2.5 Diesel
020012-3,RX 7 2.6 Turbo
020013-1,626 Sedan Mec.
020014-0,626 Sedan High
020015-8,626 Sedan Top
020016-6,626 SW
020017-4,626 SW High
020018-2,323 1.6 16V
020019-0,Millenia 3.0 V6 24V
020020-4,MX-3 GS 1.8 V6 24V
020021-2,Navajo LX 3.0 V6
020022-0,626 Sedan Aut.
020023-9,Protegé Aut.
020024-7,Protegé High
020025-5,B-2500 Pick-Up 4x4 2.5 Diesel
090001-0,540C Coupe 3.8 Bi-Turbo V8
090002-8,570S Spider 3.8 Bi-Turbo V8
090003-6,570S GT Coupé 3.8 Bi-Turbo V8
090004-4,720S Coupe 4.0 Bi-Turbo V8 2p
090005-2,570S Coupé 3.8 Bi-Turbo V8
090006-0,600LT Coupe 3.8 Bi-Turbo V8
090007-9,720S Spider 4.0 Bi-Turbo V8 2p
090008-7,GT Coupé 4.0 Bi-Turbo V8 2p
090009-5,765LT Coupe 4.0 Bi-Turbo V8
090010-9,600LT Spider 3.8 Bi-Turbo V8
090011-7,Artura Coupe 3.0 V6 2p (Híbrido)
090012-5,765LT Spider 4.0 Bi-Turbo V8
021001-3,C-180 Classic/Classic Plus/Elegance
021002-1,C-220 Classic/Elegance/Sport
021003-0,C-230 Kompressor Avantgarde
021004-8,C-280 Elegance
021005-6,C-280 Classic/Sport
021006-4,C-36 AMG
021007-2,E-190
021008-0,E-230 Elegance
021009-9,E-320
021010-2,E-420 Classic/Elegance/Avantgarde
021013-7,S-320 L Classic/Wagon Classic 3.2
021014-5,S-500 5.0
021015-3,S-600/ S-600 C Classic 6.0
021016-1,SE-500
021017-0,SL-320 3.2/Classic 3.2
021018-8,SL-500 5.0 e 5.5/ Classic 5.0
021019-6,SL-600
021021-8,SLK-230 Kompressor
021022-6,C-230 Touring Kompressor
021023-4,C-43 AMG
021024-2,CLK-230 Kompressor
021025-0,CLK-320 Elegance
021026-9,CLK-320 Sport
021027-7,CLK-430 Elegance
021028-5,CLK-430 Sport 4.3
021029-3,E-240 Elegance
021030-7,E-320 3.2 Elegance
021031-5,E-320 Avantgarde
021033-1,E-320 Touring Eleg./Classic
021034-0,E-430 Elegance
021035-8,E-430 Avantgarde
021036-6,E-430 Touring Avantgarde
021037-4,E-55 AMG
021038-2,ML-230 4x4
021039-0,ML-320 4x4
021040-4,C-240 Elegance 2.4
021041-2,C-280 Touring
021042-0,Sprinter 312 Furgão Curto Diesel
021043-9,Sprinter 312 Van Luxo 10lug. Diesel
021044-7,Sprinter 312 Van Luxo 15lug. Diesel
021045-5,300-SE 3.0/3.2
021046-3,CL-500 5.0/ 5.5
021047-1,500-SEC/ SL
021048-0,Classe A 160 Classic/ Spirit Mec.
021049-8,Classe A 160 Elegance Mec.
021050-1,C-240 Classic
021051-0,Classe A 160 Classic Semi-Aut.
021052-8,CLK-320 Elegance Cabriolet
021053-6,CLK-320 AvantGarde
021054-4,CLK-320 Sport Cabriolet
021056-0,ML-430
021057-9,S-500L 5.0
021058-7,SLK-230 Plus
021059-5,E-420 Touring Avantgarde
021060-9,180-D Pick-Up/Furgão 2.4 Diesel
021061-7,180-D Van 2.4 Diesel
021062-5,190-E 2.3
021063-3,230-E 2.3
021064-1,E-220 Classic/Touring 2.2
021065-0,E-280 Classic 2.8
021066-8,E-280 Touring 2.8
021067-6,260-E 2.6
021068-4,300-D 3.0 Diesel
021069-2,300-E 3.0
021070-6,300-SL 3.0
021071-4,300-TE Wagon 3.0
021072-2,500-E 5.0
021074-9,500-SEL 5.0/ 5.6
021075-7,560-SEL 5.6
021076-5,C-200 Classic/Sport
021077-3,C-230 Sport/ Eleg./Touring Eleg.Plus 2.3
021078-1,CL-600 6.0/ 5.5
021079-0,E-200 Classic 2.0
021080-3,S-420 Classic 4.0
021081-1,S-500 C Classic 5.0
021082-0,Classic 6.0
021083-8,S-600 L/ L Classic/ Wagon Classic 6.0
021084-6,SL-280 Classic 2.8
021085-4,Sprinter 310 Van Luxo/Exec. 12/14L Dies.
021087-0,Sprinter 310 Van Std 12e14L/Luxo 9L.Dies
021088-9,Sprinter 310 Van Std. 9Lug. 2.5 Diesel
021089-7,Sprinter 312 Van Exec. 10Lug. 2.5 Diesel
021090-0,Sprinter 312 Van Street Luxo 15Lug.Dies.
021091-9,Sprinter 312 Van Street Std. 15Lug.Dies.
021092-7,S-500 L/ L Classic/ Wagon Classic 5.0
021093-5,E-320 Cabriolet
021094-3,E-320 C 3.2/ CA Classic 3.2
021095-1,Sprinter 310 Chassi Diesel
021096-0,Sprinter 310 Pick-Up Diesel
021097-8,Sprinter 310 Van Exec. 9Lug. Diesel
021098-6,Classe A 160 Elegance Semi-Aut.
021099-4,CLK-230 Cabriolet Kompressor
021100-1,Sprinter 312 Van Std 12lug. Diesel
021101-0,Sprinter 312 Van Std 16lug. Diesel
021102-8,Sprinter 312 Van Luxo 12lug. Diesel
021103-6,Sprinter 312 Van Luxo 16lug. Diesel
021104-4,Sprinter 312 Van Exec. 12Lug. Diesel
021105-2,Sprinter 312 Van Std Lotação 16lug. Dies
021106-0,Sprinter 312 Van Luxo Lotação 16lug.Dies
021107-9,E-190 Classic
021108-7,Sprinter 412-D Chassi Diesel
021111-7,Sprinter 312-D Chassi Diesel
021112-5,Classe A 190 Classic/ Spirit 1.9 Mec.
021113-3,Classe A 190 Classic 1.9 Semi-Aut.
021114-1,Classe A 190 Elegance 1.9 Mec.
021115-0,Classe A 190 Elegance 1.9 Semi-Aut.
021116-8,CLK-320 AvantGarde Cabriolet
021117-6,Sprinter 310 Furgão 2.5 Diesel
021118-4,CLK-430 AvantGarde 4.3
021119-2,C-240 AvantGarde 2.4/ 2.6 4p
021120-6,C-240 Elegance 2.4 V6 24v 4p Aut.
021121-4,C-320 AvantGarde 3.2 V6 24v 4p Aut.
021122-2,C-320 Elegance 3.2 V6 24v 4p Aut.
021123-0,C-200 Kompressor 2.0 V6 16v 4p Aut.
021124-9,Sprinter 312 Furgão Longo Diesel
021125-7,SLK-320 3.2 218cv
021126-5,CLK-430 Avantgard Cabriolet 4.3 V8 24v
021127-3,CLK-430 Elegance Cabriolet 4.3 V8 24v
021128-1,ML-55 AMG 5.5 24v
021129-0,Classe A 190 Elegance 1.9 Aut.
021130-3,Sprinter 312 Furgão Longo T.Alto Diesel
021131-1,C-320 Touring 3.2 V6 18v 4p Aut.
021132-0,C-230 Komp. Sportcoupé 2.3 16V 197cv Aut
021133-8,Sprinter 311 Furgão Curto 2.2 Dies
021134-6,Sprinter 311 Furgão Longo 2.2 Dies
021135-4,Sprinter 311 Furgão Longo Teto alto Dies
021136-2,Sprinter 311 VAN Std. 2.2 109cv 16L Dies
021137-0,Sprinter 311 VAN Std. 2.2 109cv 13L Dies
021138-9,Sprinter 311 VAN Luxo 2.2 109cv 13L Dies
021139-7,Sprinter 313 VAN Exec 2.2 Mec/S-Aut Dies
021140-0,Sprinter 313 VAN Luxo 2.2 129cv 16L Dies
021141-9,Classe A 190 AvantGarde 1.9 8V 125cv Mec
021142-7,C-200 Touring Komp. 2.0 16V 163cv 5p Aut
021143-5,C-200 Sportcoupé Komp. 2.0 16V 163cv Aut
021144-3,E-500 Elegance/ Avant. 5.0 V8 24V 4p Aut
021145-1,CLK-500 Elegance/ Avant. 5.0 V8 24V Aut
021146-0,Sprinter 311 Chassi 2.2 Diesel
021147-8,Sprinter 313 Furgão Longo T. Alto Diesel
021148-6,Sprinter 311 VAN Luxo 2.2 109cv 16L Dies
021149-4,Sprinter 311 Street Luxo 2.2 16Lug. Dies
021150-8,Sprinter 311 Street Std. 2.2 16Lug. Dies
021151-6,C-180 Kompressor Classic 1.8 16V 143cv
021152-4,Sprinter 413-D Chassi Curto/Longo Diesel
021153-2,CLK-55 AMG V8 24V 367cv
021154-0,SL-55 AMG V8 24V 500cv
021155-9,ML-500 V8 24V
021156-7,CLK-55 AMG Cabriolet V8 24v 367cv
021157-5,Sprinter 413 Furgão Longo T.Alto Diesel
021158-3,E-500 Tour. Avant./ Eleg. 24V V8 5p Aut.
021159-1,E-55 Touring AMG 24V V8 5p Aut.
021160-5,E-320 Touring Avantgarde 24V V6 5p Aut.
021161-3,Classe A 190 AvantGarde 1.9 8V 125cv Aut
021162-1,SLK-200 Kompressor 16V/ 200 CGI 16V
021163-0,CLK-500 Cabriolet V8 24V 306cv
021164-8,Sprinter 313 Furgão Curto 2.2 129cv Dies
021165-6,Sprinter 313 Furgão Longo 2.2 129cv Dies
021166-4,Sprinter 313 Chassi 2.2 129cv Diesel
021167-2,Sprinter 313 VAN Std. 2.2 129cv 13L.Dies
021168-0,Sprinter 313 VAN Luxo 2.2 129cv 13L.Dies
021169-9,Sprinter 313 VAN Street Luxo 16L. Dies.
021170-2,Sprinter 313 VAN Street Std. 16L. Dies.
021172-9,ML-350 3.5 4x4
021173-7,S-55 AMG V8 24V 364cv/ 500cv
021174-5,Sprinter 313 VAN Std. 2.2 129cv 16L Dies
021175-3,CLS-500 V8 24V
021176-1,SLK-55 AMG V8 24V
021177-0,SLK-350 3.5 V6/SLK-350 CGI
021178-8,E-350 Avantgarde/ Elegance 3.5 V6 272cv
021179-6,C-350 Avantgarde/ Elegance 3.5 V6 272cv
021180-0,CLS-55 Kompressor AMG 5.5 V8 24V 476cv
021181-8,C-230 Avantgarde 2.5 V6 24V 204cv Aut
021182-6,Classe A 200 Elegance 2.0 136cv Aut.
021183-4,C-55 AMG 24V 367cv Aut.
021184-2,C-55 Touring AMG 24V 367cv Aut.
021185-0,C-350 Sportcoupé 3.5 24V 272cv
021186-9,C-350 Touring AvantGarde 3.5 24V 272cv
021187-7,E-350 Touring Avant/Eleg. 3.5 24V 272cv
021188-5,CLK-350 Avant./ Elegance 3.5 24V 272cv
021189-3,CLS-350 V6 24V 272cv
021190-7,CLK-350 Avant./Eleg. Cabriolet 3.5 272cv
021191-5,SL-350 3.5 V6 2p
021192-3,C-230 Touring Avant. 2.5 24V 204cv Aut.
021193-1,C-200 Kompressor Avant.1.8 16V Aut
021194-0,Classe B 200 2.0 136cv Aut.
021195-8,Classe R 500 5.0 V8 306cv Aut.
021196-6,CLS-63 AMG 6.2 V8 32V 514cv
021197-4,Classe B 200 2.0 Turbo 193cv Aut.
021198-2,E-63 AMG 6.2 V8 32V
021199-0,GL-500 5.5 V8 32V 4x4 388cv Aut.
021200-8,S-65 AMG 6.0 V12 612cv Aut
021201-6,ML-63 AMG 6.2 V8 32V 510cv
021202-4,C-200 Kompressor Classic 1.8 16V Aut.
021203-2,C-280 Avantgarde 3.0 V6 231cv Aut.
021204-0,S-63 AMG 6.2 V8 525cv Aut
021205-9,S-63 L AMG 6.2 V8/5.5 V8 Bi-TB Aut
021206-7,CL-63 AMG 6.2 V8 32V 525cv
021207-5,Sprinter 413 VAN Luxo 2.2 16 e 20L Dies
021208-3,E-350 Sport 3.5 V6 272cv
021209-1,C-63 AMG 6.2 V8 Aut.
021210-5,C-200 Touring Komp. Avant. 1.8 16V Aut.
021211-3,E-500 Sport Avantgarde 5.0 V8 24V 4p Aut
021212-1,ML-320 3.0 V6 224cv 4x4 diesel
021213-0,SL-63 AMG 6.2 V8 525cv Aut
021214-8,SL-65 AMG 6.0 V12 612cv Aut
021215-6,C-350 Sport 3.5 V6 272cv
021216-4,E-500 Avant. 5.0 V8 4p Aut. (Blindada)
021217-2,GLK 280 3.0 V6 24V 4x4 231cv Aut.
021218-0,Classe B 170 1.7 116cv Aut.
021219-9,CLC 200 Kompressor 1.8 184cv Aut.
021220-2,Classe B 180 1.7 116cv Aut.
021221-0,E-350 Avant./Avant. Execut. 3.5 V6 272cv
021222-9,C-300 Avantgarde 3.0 V6 24V 231cv Aut.
021223-7,E-350 Coupe 3.5 V6 272cv 2p
021224-5,C-63 Touring AMG 6.2 V8 Aut.
021225-3,CL-65 AMG 6.0 V12 Aut.
021226-1,Classe R 500 L 5.5 V8 388cv Aut.
021227-0,ML-350 3.0 V6 4x4 Diesel
021228-8,GLK 300 3.0 V6 24V 4x4 231cv Aut.
021229-6,G-55 Kompressor AMG 5.5 V8 507cv Aut.
021230-0,C-180 Kompressor Classic 1.6 16V Aut.
021231-8,S-400 3.5 V6 279cv Aut. (Híbrido)
021232-6,SL-350 Sport 3.5 V6 316cv
021233-4,C-200 CGI Avantgarde 1.8 16V 184cv Aut.
021234-2,C-200 CGI Sport 1.8 TB 16V 184cv Aut.
021235-0,E-350 Cabrio 3.5 V6 272cv 2p
021236-9,C-300 Sport 3.0 V6 231cv Aut.
021237-7,C-200 CGI Touring Avantgarde 1.8 16V Aut
021238-5,E-500 Coupe Sport 5.5 V8 388cv 2p
021239-3,C-180 CGI Classic 1.8 16V 156cv Aut.
021240-7,E-500 Avangarde Executive 5.5 V8 388cv
021241-5,E-63 Touring AMG 6.2 V8 Aut.
021242-3,C-250 CGI Sport 1.8 16V Aut.
021243-1,E-250 CGI Avantgarde 1.8 16V 204cv Aut.
021244-0,E-250 CGI Coupe 1.8 16V 204cv Aut.
021245-8,CLS-63 AMG 5.5 V8 557cv Aut.
021246-6,C-180 CGI Coupe 1.8 16V 156cv Aut.
021247-4,SLS-63 AMG 6.2 V8 Aut.
021248-2,Sprinter 311 Furgão E.Longo T.Alto Dies.
021249-0,C-350 CGI Sport 3.5 306cv Aut.
021250-4,CLS-350 CGI 3.5 306cv Aut.
021251-2,C-63 Coupe AMG 6.2 V8 Aut.
021252-0,S-63 AMG 5.5 V8 BI-TURBO Aut.
021253-9,SLS-63 AMG Roadster 6.3 V8 Aut.
021254-7,SLK-250 CGI 1.8 16V 204cv Aut.
021255-5,C-180 CGI Touring 1.8 16V Aut.
021256-3,E-350 CGI Executive 3.5 306cv Aut.
021257-1,E-500 CGI Guard VR4 5.5 V8 4p
021258-0,E-63 AMG 5.5 V8 Bi-Turbo Aut.
021259-8,E-63 Touring AMG 5.5 V8 Bi-Turbo Aut.
021260-1,Sprinter 415 Furgão Lon.T.Bai. 2.2 Dies.
021261-0,Sprinter 415 Furgão Lon.T.Alto 2.2 Dies
021262-8,Sprinter 515 Furgão E.L.T. Alto 2.2 Die.
021263-6,E-500 Coupe Sport 4.7 V8 408cv Aut 2p
021264-4,ML-350 Sport CGI 3.5 V6 306cv 4x4 Aut.
021265-2,Sprinter 415 Chassi L. 2.2 Diesel
021266-0,Sprinter 515 Chassi L. 2.2 Diesel
021267-9,Sprinter 515 Chassi E. L. 2.2 Diesel
021268-7,Sprinter 415 Furgão Curto T.B. 2.2 Dies.
021269-5,Sprinter 415 Furgão E.L.T.Alt. 2.2 Dies.
021270-9,Sprinter 415 VAN Standard T.B. 2.2 Dies.
021271-7,Sprinter 415 VAN Standard T.A. 2.2 Dies.
021272-5,Sprinter 415 VAN Luxo T.B. 2.2 Diesel
021273-3,Sprinter 415 VAN Luxo T.A. 2.2 Diesel
021274-1,E-500 CGI Guard VR4 4.7 V8 408cv 4p
021275-0,E-350 CGI Avant. Sport 3.5 306cv Aut.
021276-8,ML-63 AMG 5.5 V8 Bi-Turbo Aut.
021277-6,Classe B 200 CGI 1.6 TB/Flex Aut.
021278-4,Classe B 200 CGI 1.6 TB Sport 156cv Aut
021279-2,C-63 Coupe AMG Black Series 6.3 V8 Aut.
021280-6,C-180 CGI Sport 1.6 TB 16V 156cv Aut.
021281-4,C-180 CGI Coupe Sport 1.6 TB 16V Aut.
021282-2,C-180 CGI Touring Sport 1.6 TB Aut.
021283-0,Sprinter 515 VAN 2.2 Diesel
021284-9,GLK 300 3.5 CGI V6 4x4 252cv Aut.
021285-7,SL-63 AMG 5.5 Bi-Turbo V8 Aut.
021286-5,C-250 CGI Sport Coupe 1.8 16V TB Aut.
021287-3,GL-500 4.7 Bi-Turbo V8 4x4 Aut.
021288-1,Classe A 200 1.6 TB 16V Style 156cv Aut.
021289-0,Classe A 200 1.6 TB 16V Urban 156cv Aut.
021290-3,GLK 220 CDI 2.2 TB 4X4 170cv Aut. Diesel
021291-1,GLK 220 Sport CDI 2.2 TB 4X4 Aut. Diesel
021292-0,GL-63 AMG 5.5 Bi-Turbo 32V 4x4 Aut.
021293-8,G-63 AMG 5.5 Bi-Turbo 32V 4x4 Aut.
021294-6,E-350 CGI Cabriolet 3.5 306cv Aut.
021295-4,E-250 CGI Avantgarde 2.0 TB 211cv Aut.
021296-2,E-350 CGI Guard VR4 3.5 306cv Aut.
021297-0,ML-350 Sport 3.0 V6 258cv 4X4 Diesel
021298-9,E-250 Coupe 2.0 TB 211cv Aut.
021299-7,GL-350 Sport 3.0 V6 258cv 4x4 Diesel
021300-4,Classe A45 AMG 4MATIC 2.0 Turbo Aut.
021301-2,CLA-200 First Edition 1.6 TB 16V Aut.
021302-0,S-500L 4.7 Bi-Turbo V8 455cv Aut.
021303-9,SLS-63 AMG 6.2 8V Black Series Aut.
021304-7,Classe A 250 2.0 TB Sport Aut.
021305-5,E-250 Cabriolet 2.0 TB 211CV Aut.
021306-3,CLA-45 AMG 4MATIC CGI 2.0 TB Aut.
021307-1,C-180 CGI Exc. 1.6/1.6 Flex TB 16V Aut.
021308-0,C-180 CGI Avant. 1.6/1.6 FlexTB 16V Aut.
021309-8,C-250 Sport 2.0 16V 211cv Aut.
021310-1,C-200 Avantgarde 2.0 TB 16V 184cv Aut.
021311-0,CLA-250 Sport 4MATIC 2.0 16V 211cv Aut.
021312-8,CLA-200 Urban 1.6 TB 16V/Flex Aut.
021313-6,GLA 200 Advance 1.6/1.6 TB 16V Flex Aut.
021314-4,GLA 200 Vision 1.6/1.6 TB 16V Flex Aut.
021315-2,GLA 200 Vis. Black Ed. 1.6 TB 16V Aut.
021316-0,CLA-200 Vision 1.6 TB 16V Flex Aut.
021317-9,E-400 Avantgarde 3.5 V6 Bi-Turbo Aut.
021318-7,GLA 45 AMG 4MATIC 2.0 Turbo Aut.
021319-5,Sprinter 311 Chassi E. Longa 2.2 Diesel
021320-9,C-180 CGI Estate Avant. 1.6 TB 16V Aut.
021321-7,CLS-400 3.5 V6 Bi-Turbo 333cv Aut.
021322-5,GLA 200 Style 1.6 TB 16V/Flex Aut.
021323-3,E-250 CGI VR4 2.0 TB Aut.
021324-1,GLA 250 Vision 2.0 TB 16V 211cv Aut.
021325-0,GLA 250 Sport 2.0 TB 16V 4x2 211cv Aut.
021326-8,SL-400 3.0 Bi-Turbo V6 2p
021327-6,Classe A 200 1.6 TB/Flex Aut.
021328-4,S-63 Coupe AMG 5.5 V8 Bi-Turbo Aut.
021329-2,E-400 Cabriolet 3.5 V6 Bi-Turbo Aut.
021330-6,C-63 S AMG 4.0 V8 Bi-Turbo Aut.
021331-4,C-180 1.6 Turbo 16V/Flex 16V Aut.
021332-2,GT S AMG 4.0 V8 Bi-Turbo 510cv
021333-0,C-450 AMG Sport 3.0 TB 362cv Aut.
021334-9,SLK-300 2.0 Turbo 245cv Aut.
021335-7,VITO TOURER 119 Luxo 2.0 Flex 8Lug. Mec.
021336-5,VITO TOURER 119 Comf.2.0 Flex 9Lug. Mec.
021337-3,VITO 111 CDI Furgão 1.6 TB Diesel 4p Mec
021338-1,GLA 200 Enduro 1.6 TB 16V Flex Aut.
021339-0,GLA 250 Enduro 2.0 TB 16V 211cv Aut.
021340-3,GLE-350 3.0 V6 258cv 4x4 Diesel
021341-1,GLE-350 Sport 4MATIC 3.0 V6 4x4 Diesel
021342-0,GLE-350 Family 3.0 V6 258cv 4x4 Diesel
021343-8,GLC 250 Sport 4MATIC 2.0 TB 16V Aut.
021344-6,GLC 250 4MATIC 2.0 TB 16V Aut.
021345-4,GLE-400 Coupe 3.0 V6 333cv Aut.
021346-2,GLE-400 Night Coupe 3.0 V6 333cv Aut.
021347-0,GLE-63 AMG 4MATIC Coupe 5.5 V8 Aut.
021348-9,GLS-350 V6 258cv 4x4 Diesel
021349-7,C-63 AMG 4.0 V8 Bi-Turbo Aut.
021350-0,C-250 Sport Coupe 2.0 16V 211cv Aut.
021351-9,SLC-300 2.0 Turbo 245cv Aut.
021352-7,Sprinter 313 Chassi Longo 2.2 Diesel
021353-5,Sprinter 313 Chassi Ex. Longo 2.2 Dies.
021354-3,Sprinter 313 Furgão Ex. Longo T. A. Die.
021355-1,SLC-43 AMG 3.0 V6 Aut.
021356-0,GLE-450 AMG 3.0 V6 367cv Aut.
021357-8,C-43 Coupe AMG 3.0 V6 Bi-Turbo Aut.
021358-6,GT AMG 4.0 V8 Bi-Turbo 462cv
021359-4,S-65 L AMG 6.0 V12 630cv Aut.
021360-8,GLE-63 AMG 5.5 V8 557cv Aut.
021361-6,C-43 AMG 3.0 V6 Bi-Turbo 367cv Aut
021362-4,E-250 Excl. Launch Ed. 2.0 TB 211cv Aut.
021363-2,GLA 250 Sport 2.0 TB 16V 4x4 211cv Aut.
021364-0,GLE-400 Coupe High. 4MATIC 3.0 V6 Aut.
021365-9,C-300 Anniversary Lim. Edit. 2.0 Aut.
021366-7,S-63 Cabriolet AMG 5.5 V8 Bi-Turbo Aut.
021367-5,GLC-43 AMG 4MATIC 3.0 V6 Bi-Turbo Aut.
021368-3,C-300 Cabriolet 2.0 245/258cv Aut.
021369-1,GLE-43 AMG 4MATIC Coupe 3.0 V6 Bi-TB Aut
021370-5,C-63 S Coupe AMG 4.0 V8 Bi-Turbo Aut.
021371-3,GLC 250 Coupe 4MATIC 2.0 TB 16V Aut.
021372-1,E-250 Exclusive 2.0 TB 211cv Aut.
021373-0,GLS-500 4MATIC 4.7 Bi-Turbo V8 455cv
021374-8,GLE-350 Highway 4MATIC 3.0 V6 Diesel
021375-6,GLC 250 Highway 4MATIC 2.0 TB Aut.
